username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
muszkieterowie;2016-03-04 09:45;0;0;"Wskaźniki makroekonomiczne na koniec lutego 2016r. #bezrobocie #PKB #inflacja #sprzedaz #waluty http://www. slideshare.net/Grupa_Muszkiet erow/wskaniki-makroekonomiczne-na-koinie … przez @SlideShare";;@SlideShare;#bezrobocie #PKB #inflacja #sprzedaz #waluty;"705675515030589440";https://twitter.com/muszkieterowie/status/705675515030589440
zielonalinia;2016-03-02 13:34;0;0;"Bezrobocie w UE najniższe od maja 2009 r. http:// bit.ly/1ShGFGV #Bezrobocie #Praca #UniaEuropejska";;;#Bezrobocie #Praca #UniaEuropejska;"705008386883112960";https://twitter.com/zielonalinia/status/705008386883112960
AgropolskaPL;2016-03-02 12:30;0;0;"Bezrobocie w UE najniższe od 7 lat. Polska na 12 miejscu http://www. agropolska.pl/aktualnosci/eu ropa/bezrobocie-w-ue-najnizsze-od-7-lat-polska-na-12-miejscu,461.html … #praca #bezrobocie #UE #eurostat pic.twitter.com/xjWUE0lTCQ";;;#praca #bezrobocie #UE #eurostat;"704992192100757505";https://twitter.com/AgropolskaPL/status/704992192100757505
KursnaFunta;2016-03-01 22:44;0;0;"#Ekonomia współdzielenia może być odpowiedzią na problem bezrobocia >> http:// kurs-na-funta.pl/informacje/eko nomia-wspoldzielenia-moze-byc-odpowiedzia-na-problem-bezrobocia/ … #bezrobocie";;;#Ekonomia #bezrobocie;"704784450161401856";https://twitter.com/KursnaFunta/status/704784450161401856
forsalpl;2016-03-01 19:24;1;3;"W Polsce to pracownicy dyktują warunki. Połowie firm brakuje specjalistów. #praca #bezrobocie http:// forsal.pl/artykuly/92546 0,niedobor-specjalistow-w-polskich-firmach-sondaz-instytut-badawczy-randstadt.html …";;;#praca #bezrobocie;"704734003656572928";https://twitter.com/forsalpl/status/704734003656572928
londynek;2016-03-01 16:44;0;0;"Bezrobocie w Unii Europejskiej najniższe od 7 lat http:// londynek.net/u/?i=w35005 via @londynek #UniaEuropejska #UE #Bezrobocie #Niemcy #Grecja";;@londynek;#UniaEuropejska #UE #Bezrobocie #Niemcy #Grecja;"704693823247622144";https://twitter.com/londynek/status/704693823247622144
MSDomMaklerski;2016-03-01 15:55;0;0;"Eurostat: #Bezrobocie Eurolandu w styczniu spadło o 0,1 proc. i wynosi 10,3 proc., w całej UE jest ono równe 8,9% #DomMaklerskiMichaelStrom";;;#Bezrobocie #DomMaklerskiMichaelStrom;"704681476743372800";https://twitter.com/MSDomMaklerski/status/704681476743372800
londynek;2016-03-01 14:31;0;0;"W Polsce brakuje pracowników. Kogo szukają pracodawcy? http:// londynek.net/u/?i=w34998 via @londynek #Polska #praca #Bezrobocie";;@londynek;#Polska #praca #Bezrobocie;"704660245650472964";https://twitter.com/londynek/status/704660245650472964
CinkciarzPL;2016-03-01 11:06;0;0;"Według Eurostat bezrobocie w Polsce wynosi 6.9%. Tylko 0.1 pkt. proc. powyżej historycznych minimów. #bezrobocie pic.twitter.com/2HmMmpPbG3";;;#bezrobocie;"704608831159013376";https://twitter.com/CinkciarzPL/status/704608831159013376
Macronextcom;2016-03-01 11:01;0;1;"Strefa Euro: w I 2016 stopa bezrobocia 10,3% (prognoza: 10,4%; poprzednio: 10,4%) http://www. macronext.com/pl/dane-makro/ d/2016-03-01/c/2 … #bezrobocie @EU_Eurostat";;@EU_Eurostat;#bezrobocie;"704607435269472258";https://twitter.com/Macronextcom/status/704607435269472258
wnppl;2016-03-01 09:57;2;0;"Dobre wieści! #BIEC poinformowało, że #bezrobocie będzie spadać! @pulshr_pl";;@pulshr_pl;#BIEC #bezrobocie;"704591439578144768";https://twitter.com/wnppl/status/704591439578144768
pulshr_pl;2016-02-27 13:04;0;0;"Gdyby #kontrahenci płacili w terminie #bezrobocie znacznie by zmalało http:// bit.ly/1TF5NqY";;;#kontrahenci #bezrobocie;"703551344532168708";https://twitter.com/pulshr_pl/status/703551344532168708
Macronextcom;2016-02-26 09:01;0;0;"#Węgry : w I 2016 stopa bezrobocia 6,2% (poprzednio: 6,2%) http://www. macronext.com/pl/dane-makro/ d/2016-02-26/r/2 … #bezrobocie";;;#W #bezrobocie;"703127617587654656";https://twitter.com/Macronextcom/status/703127617587654656
NewPlayersPL;2016-02-25 18:03;1;1;"Mamy rynek pracownika, ale w drugiej połowie roku bezrobocie może wzrosnąć #bezrobocie #praca #rokpracownika http:// kariera.forbes.pl/mamy-rynek-pra cownika-ale-w-drugiej-polowie-roku-bezrobocie-moze-wzrosnac,artykuly,202268,1,1.html …";;;#bezrobocie #praca #rokpracownika;"702901687103700993";https://twitter.com/NewPlayersPL/status/702901687103700993
londynek;2016-02-25 16:41;0;0;"Jakie są największe problemy Polaków? Na pierwszym miejscu bezrobocie http:// londynek.net/u/?i=w34907 via @londynek #Polska #Bezrobocie";;@londynek;#Polska #Bezrobocie;"702881131327266816";https://twitter.com/londynek/status/702881131327266816
AgropolskaPL;2016-02-24 11:05;0;0;"Bezrobocie w styczniu na 10,3 procenta http://www. agropolska.pl/aktualnosci/po lska/bezrobocie-w-styczniu-na-10-3-procenta,1918.html … #praca #bezrobocie #zatrudnienie #GUS #etat pic.twitter.com/pNMQcpx3cS";;;#praca #bezrobocie #zatrudnienie #GUS #etat;"702434224016646144";https://twitter.com/AgropolskaPL/status/702434224016646144
